70.24,29.76,0.6434,0.7614,0.7295,0.2386,0.6837,0.4077,0.4048
70.12,29.88,0.6458,0.7566,0.7263,0.2434,0.6837,0.4049,0.4024
70.36,29.64,0.6241,0.7831,0.7421,0.2169,0.678,0.4125,0.4072
70.36,29.64,0.6337,0.7735,0.7367,0.2265,0.6813,0.4113,0.4072
70.24,29.76,0.6024,0.8024,0.753,0.1976,0.6693,0.4132,0.4048
70.48,29.52,0.6747,0.7349,0.7179,0.2651,0.6957,0.4104,0.4096
69.88,30.12,0.6217,0.7759,0.735,0.2241,0.6736,0.4024,0.3976
70.48,29.52,0.612,0.7976,0.7515,0.2024,0.6746,0.4169,0.4096
70.36,29.64,0.6602,0.747,0.723,0.253,0.6902,0.4088,0.4072
70.48,29.52,0.6602,0.7494,0.7249,0.2506,0.691,0.4113,0.4096
70.48,29.52,0.6434,0.7663,0.7335,0.2337,0.6855,0.4128,0.4096
70.24,29.76,0.6434,0.7614,0.7295,0.2386,0.6837,0.4077,0.4048
69.4,30.6,0.612,0.7759,0.732,0.2241,0.6667,0.3933,0.388
70.12,29.88,0.6193,0.7831,0.7406,0.2169,0.6745,0.4079,0.4024
70.36,29.64,0.6169,0.7904,0.7464,0.2096,0.6755,0.4135,0.4072
70.12,29.88,0.6265,0.7759,0.7365,0.2241,0.6771,0.407,0.4024
70.84,29.16,0.6747,0.7422,0.7235,0.2578,0.6983,0.4178,0.4169
70,30,0.6627,0.7373,0.7161,0.2627,0.6884,0.4011,0.4
70.12,29.88,0.6361,0.7663,0.7313,0.2337,0.6804,0.4059,0.4024
70.36,29.64,0.6313,0.7759,0.738,0.2241,0.6805,0.4116,0.4072
70.48,29.52,0.6072,0.8024,0.7545,0.1976,0.6729,0.4177,0.4096
70.12,29.88,0.641,0.7614,0.7288,0.2386,0.6821,0.4054,0.4024
70.72,29.28,0.6699,0.7446,0.724,0.2554,0.6959,0.4156,0.4145
70.24,29.76,0.6217,0.7831,0.7414,0.2169,0.6763,0.4102,0.4048
70.24,29.76,0.6217,0.7831,0.7414,0.2169,0.6763,0.4102,0.4048
69.52,30.48,0.6578,0.7325,0.7109,0.2675,0.6834,0.3915,0.3904
70.72,29.28,0.6795,0.7349,0.7194,0.2651,0.6989,0.4151,0.4145
70.24,29.76,0.6434,0.7614,0.7295,0.2386,0.6837,0.4077,0.4048
70.48,29.52,0.6072,0.8024,0.7545,0.1976,0.6729,0.4177,0.4096
70.24,29.76,0.6313,0.7735,0.736,0.2265,0.6796,0.409,0.4048
70,30,0.6675,0.7325,0.7139,0.2675,0.6899,0.4008,0.4
70.12,29.88,0.641,0.7614,0.7288,0.2386,0.6821,0.4054,0.4024
70.24,29.76,0.706,0.6988,0.701,0.3012,0.7035,0.4048,0.4048
70.48,29.52,0.6651,0.7446,0.7225,0.2554,0.6926,0.4109,0.4096
