98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.36,1.641,0.9716,0.9956,0.9955,0.004376,0.9834,0.9675,0.9672
97.81,2.188,0.9584,0.9978,0.9977,0.002188,0.9777,0.957,0.9562
98.03,1.969,0.9628,0.9978,0.9977,0.002188,0.98,0.9612,0.9606
98.14,1.86,0.9672,0.9956,0.9955,0.004376,0.9811,0.9632,0.9628
98.03,1.969,0.9628,0.9978,0.9977,0.002188,0.98,0.9612,0.9606
98.14,1.86,0.965,0.9978,0.9977,0.002188,0.9811,0.9633,0.9628
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
97.81,2.188,0.9584,0.9978,0.9977,0.002188,0.9777,0.957,0.9562
97.92,2.079,0.9606,0.9978,0.9977,0.002188,0.9788,0.9591,0.9584
98.03,1.969,0.9694,0.9912,0.9911,0.008753,0.9801,0.9608,0.9606
98.03,1.969,0.9628,0.9978,0.9977,0.002188,0.98,0.9612,0.9606
98.14,1.86,0.965,0.9978,0.9977,0.002188,0.9811,0.9633,0.9628
98.14,1.86,0.9694,0.9934,0.9933,0.006565,0.9812,0.9631,0.9628
98.25,1.751,0.9694,0.9956,0.9955,0.004376,0.9823,0.9653,0.965
97.92,2.079,0.9628,0.9956,0.9955,0.004376,0.9789,0.9589,0.9584
98.14,1.86,0.965,0.9978,0.9977,0.002188,0.9811,0.9633,0.9628
98.03,1.969,0.9672,0.9934,0.9933,0.006565,0.98,0.9609,0.9606
98.14,1.86,0.9672,0.9956,0.9955,0.004376,0.9811,0.9632,0.9628
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.25,1.751,0.9694,0.9956,0.9955,0.004376,0.9823,0.9653,0.965
97.92,2.079,0.965,0.9934,0.9932,0.006565,0.9789,0.9588,0.9584
98.03,1.969,0.9628,0.9978,0.9977,0.002188,0.98,0.9612,0.9606
98.03,1.969,0.9716,0.9891,0.9889,0.01094,0.9801,0.9608,0.9606
97.92,2.079,0.9716,0.9869,0.9867,0.01313,0.9791,0.9585,0.9584
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
97.92,2.079,0.9606,0.9978,0.9977,0.002188,0.9788,0.9591,0.9584
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.14,1.86,0.9672,0.9956,0.9955,0.004376,0.9811,0.9632,0.9628
97.92,2.079,0.9628,0.9956,0.9955,0.004376,0.9789,0.9589,0.9584
98.25,1.751,0.9694,0.9956,0.9955,0.004376,0.9823,0.9653,0.965
98.03,1.969,0.965,0.9956,0.9955,0.004376,0.98,0.9611,0.9606
98.05,1.947,0.9654,0.9956,0.9955,0.004354,0.9802,0.9615,0.9611
5587,5642,6786,6089,5701,5841,5804,6322,5652,6314,6110,6202,5873,5886,5570,5720,5809,6689,6707,6473,6036,6035,5809,7974,5934,5812,5958,5797,5615,5780,6816,5831,5208,6786,5467,5605,6123,5773,6200,5586,6433,5965,6022,6146,5788,6090,5549,6305,6979,5888,5993,6024,6036,5947,5817,6153,6723,6085,6905,5903,5533,5473,5905,5748,5805,6805,5764,5487,6028,5730,6659,5956,6338,6497,5729,6208,5749,5510,5430,5562,5979,6299,5570,5640,5640,7561,7180,6073,5647,5825,6580,5443,5470,5955,5832,6135,6006,5554,6184,5868
26.95,26.96,26.97,26.91,26.92,26.9,26.94,26.94,26.96,26.91,26.91,26.93,26.94,27.05,26.92,26.93,26.98,26.97,26.94,26.97,26.95,26.92,26.92,27.01,26.97,26.9,26.92,26.91,26.94,26.91,26.88,26.88,27.07,27.07,27.07,26.91,26.98,27.05,26.97,26.9,27.07,26.92,26.95,26.91,26.91,26.94,26.97,27.02,26.98,26.92,26.93,27,26.94,26.96,26.9,26.94,26.92,27,27.06,26.97,26.97,27.05,26.97,26.9,26.91,27.03,26.97,27,26.88,26.92,26.98,26.92,26.92,26.95,26.97,26.97,26.88,26.9,27.04,26.93,26.93,27,26.98,26.93,26.93,26.98,26.95,26.93,26.99,26.99,26.92,27.07,27.08,26.97,26.9,26.93,26.98,26.95,26.98,26.97
441,16
2,455
